"filename", "language", "Makefile", "C", "C++", "Markdown", "comment", "blank", "total"
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/cpu-addressing.c", "C", 0, 79, 0, 0, 4, 19, 102
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/cpu-internal.h", "C++", 0, 0, 51, 0, 2, 11, 64
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/cpu.c", "C", 0, 506, 0, 0, 27, 74, 607
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/cpu.h", "C++", 0, 0, 11, 0, 1, 6, 18
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/fce.c", "C", 0, 109, 0, 0, 3, 29, 141
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/fce.h", "C++", 0, 0, 23, 0, 0, 6, 29
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/main.c", "C", 0, 18, 0, 0, 0, 5, 23
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/mario-rom.c", "C", 0, 3418, 0, 0, 0, 1, 3419
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/memory.c", "C", 0, 36, 0, 0, 1, 5, 42
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/memory.h", "C++", 0, 0, 9, 0, 2, 5, 16
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/mmc.c", "C", 0, 24, 0, 0, 0, 8, 32
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/mmc.h", "C++", 0, 0, 6, 0, 0, 3, 9
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/ppu.c", "C", 0, 310, 0, 0, 51, 72, 433
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/ppu.h", "C++", 0, 0, 30, 0, 0, 12, 42
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/psg.c", "C", 0, 45, 0, 0, 2, 8, 55
"/home/xiangui/ysyx-workbench/am-kernels/kernels/litenes/src/psg.h", "C++", 0, 0, 16, 0, 0, 5, 21
"/home/xiangui/ysyx-workbench/am-kernels/kernels/nemu/Makefile", "Makefile", 24, 0, 0, 0, 0, 8, 32
"/home/xiangui/ysyx-workbench/am-kernels/kernels/slider/Makefile", "Makefile", 3, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/kernels/slider/main.c", "C", 0, 25, 0, 0, 1, 7, 33
"/home/xiangui/ysyx-workbench/am-kernels/kernels/snake/Makefile", "Makefile", 3, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/kernels/snake/snake.c", "C", 0, 158, 0, 0, 0, 31, 189
"/home/xiangui/ysyx-workbench/am-kernels/kernels/thread-os/Makefile", "Makefile", 3, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/kernels/thread-os/thread-os.c", "C", 0, 56, 0, 0, 2, 13, 71
"/home/xiangui/ysyx-workbench/am-kernels/kernels/typing-game/Makefile", "Makefile", 3, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/kernels/typing-game/font.c", "C", 0, 28, 0, 0, 0, 1, 29
"/home/xiangui/ysyx-workbench/am-kernels/kernels/typing-game/game.c", "C", 0, 151, 0, 0, 0, 25, 176
"/home/xiangui/ysyx-workbench/am-kernels/kernels/yield-os/Makefile", "Makefile", 3, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/kernels/yield-os/yield-os.c", "C", 0, 27, 0, 0, 0, 5, 32
"/home/xiangui/ysyx-workbench/am-kernels/tests/alu-tests/Makefile", "Makefile", 8, 0, 0, 0, 0, 4, 12
"/home/xiangui/ysyx-workbench/am-kernels/tests/alu-tests/build/alu_test.c", "C", 0, 22365, 0, 0, 0, 1, 22366
"/home/xiangui/ysyx-workbench/am-kernels/tests/alu-tests/gen_alu_test.c", "C", 0, 102, 0, 0, 7, 22, 131
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/Makefile", "Makefile", 3, 0, 0, 0, 0, 1, 4
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/include/amtest.h", "C++", 0, 0, 19, 0, 0, 6, 25
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/main.c", "C", 0, 36, 0, 0, 0, 4, 40
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/audio.c", "C", 0, 22, 0, 0, 1, 5, 28
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/devscan.c", "C", 0, 55, 0, 0, 0, 15, 70
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/hello.c", "C", 0, 6, 0, 0, 0, 2, 8
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/intr.c", "C", 0, 24, 0, 0, 0, 3, 27
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/keyboard.c", "C", 0, 30, 0, 0, 0, 6, 36
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/mp.c", "C", 0, 6, 0, 0, 0, 2, 8
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/rtc.c", "C", 0, 16, 0, 0, 0, 2, 18
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/video.c", "C", 0, 76, 0, 0, 1, 14, 91
"/home/xiangui/ysyx-workbench/am-kernels/tests/am-tests/src/tests/vm.c", "C", 0, 78, 0, 0, 0, 13, 91
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/Makefile", "Makefile", 26, 0, 0, 0, 0, 11, 37
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/include/trap.h", "C++", 0, 0, 10, 0, 0, 4, 14
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/add-longlong.c", "C", 0, 17, 0, 0, 0, 6, 23
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/add.c", "C", 0, 19, 0, 0, 0, 7, 26
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/bit.c", "C", 0, 40, 0, 0, 0, 7, 47
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/bubble-sort.c", "C", 0, 29, 0, 0, 0, 11, 40
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/crc32.c", "C", 0, 38, 0, 0, 3, 7, 48
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/div.c", "C", 0, 17, 0, 0, 0, 5, 22
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/dummy.c", "C", 0, 3, 0, 0, 0, 2, 5
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/fact.c", "C", 0, 15, 0, 0, 0, 6, 21
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/fib.c", "C", 0, 12, 0, 0, 0, 5, 17
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/goldbach.c", "C", 0, 27, 0, 0, 0, 8, 35
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/hello-str.c", "C", 0, 13, 0, 0, 0, 5, 18
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/if-else.c", "C", 0, 21, 0, 0, 0, 8, 29
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/leap-year.c", "C", 0, 12, 0, 0, 0, 5, 17
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/load-store.c", "C", 0, 34, 0, 0, 0, 12, 46
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/matrix-mul.c", "C", 0, 54, 0, 0, 0, 7, 61
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/max.c", "C", 0, 21, 0, 0, 0, 7, 28
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/mersenne.c", "C", 0, 31, 0, 0, 1, 3, 35
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/min3.c", "C", 0, 25, 0, 0, 0, 7, 32
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/mov-c.c", "C", 0, 20, 0, 0, 0, 6, 26
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/movsx.c", "C", 0, 30, 0, 0, 0, 4, 34
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/mul-longlong.c", "C", 0, 19, 0, 0, 0, 8, 27
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/pascal.c", "C", 0, 23, 0, 0, 0, 8, 31
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/prime.c", "C", 0, 21, 0, 0, 0, 5, 26
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/quick-sort.c", "C", 0, 35, 0, 0, 0, 15, 50
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/recursion.c", "C", 0, 37, 0, 0, 0, 10, 47
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/select-sort.c", "C", 0, 31, 0, 0, 0, 12, 43
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/shift.c", "C", 0, 26, 0, 0, 0, 11, 37
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/shuixianhua.c", "C", 0, 20, 0, 0, 0, 7, 27
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/string.c", "C", 0, 21, 0, 0, 0, 7, 28
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/sub-longlong.c", "C", 0, 17, 0, 0, 0, 6, 23
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/sum.c", "C", 0, 11, 0, 0, 0, 4, 15
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/switch.c", "C", 0, 23, 0, 0, 0, 7, 30
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/to-lower-case.c", "C", 0, 14, 0, 0, 0, 5, 19
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/unalign.c", "C", 0, 12, 0, 0, 0, 7, 19
"/home/xiangui/ysyx-workbench/am-kernels/tests/cpu-tests/tests/wanshu.c", "C", 0, 19, 0, 0, 0, 6, 25
"/home/xiangui/ysyx-workbench/am-kernels/tests/klib-tests/Makefile", "Makefile", 28, 0, 0, 0, 0, 14, 42
"/home/xiangui/ysyx-workbench/am-kernels/tests/klib-tests/tests/memset.c", "C", 0, 41, 0, 0, 2, 7, 50
"Total", "-", 122, 32132, 1547, 236, 1449, 1636, 37122
