"filename", "language", "Makefile", "C", "C++", "Markdown", "Python", "comment", "blank", "total"
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/npc/input.c", "C", 0, -5, 0, 0, 0, 0, -2, -7
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/npc/ioe.c", "C", 0, -25, 0, 0, 0, 0, -8, -33
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/npc/libgcc/ashldi3.c", "C", 0, -22, 0, 0, 0, 0, -6, -28
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/npc/libgcc/libgcc2.h", "C++", 0, 0, -421, 0, 0, -68, -55, -544
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/npc/libgcc/longlong.h", "C++", 0, 0, -1539, 0, 0, -152, -84, -1775
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/npc/libgcc/multi3.c", "C", 0, -45, 0, 0, 0, -32, -10, -87
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/npc/libgcc/riscv-asm.h", "C++", 0, 0, -16, 0, 0, -20, -6, -42
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/npc/libgcc/unused.c", "C", 0, -4, 0, 0, 0, 0, -2, -6
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/npc/mpe.c", "C", 0, -13, 0, 0, 0, 0, -5, -18
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/npc/timer.c", "C", 0, -14, 0, 0, 0, 0, -4, -18
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/npc/trm.c", "C", 0, -21, 0, 0, 0, 0, -7, -28
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/npc/vme.c", "C", 0, -13, 0, 0, 0, 0, -6, -19
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/riscv.h", "C++", 0, 0, -27, 0, 0, 0, -8, -35
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/spike/atomic.h", "C++", 0, 0, -62, 0, 0, -4, -13, -79
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/spike/htif.c", "C", 0, -92, 0, 0, 0, -4, -16, -112
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/spike/htif.h", "C++", 0, 0, -18, 0, 0, -1, -6, -25
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/spike/ioe.c", "C", 0, -21, 0, 0, 0, 0, -7, -28
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/spike/timer.c", "C", 0, -24, 0, 0, 0, 0, -7, -31
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/riscv/spike/trm.c", "C", 0, -26, 0, 0, 0, -1, -8, -35
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/x86/nemu/cte.c", "C", 0, -45, 0, 0, 0, -4, -19, -68
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/x86/nemu/vme.c", "C", 0, -49, 0, 0, 0, -1, -15, -65
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/x86/qemu/boot/Makefile", "Makefile", -7, 0, 0, 0, 0, 0, -2, -9
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/x86/qemu/boot/genboot.py", "Python", 0, 0, 0, 0, -13, 0, -2, -15
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/x86/qemu/boot/main.c", "C", 0, -77, 0, 0, 0, -3, -11, -91
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/x86/qemu/cte.c", "C", 0, -141, 0, 0, 0, -1, -24, -166
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/x86/qemu/ioe.c", "C", 0, -388, 0, 0, 0, -13, -71, -472
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/x86/qemu/mpe.c", "C", 0, -46, 0, 0, 0, 0, -10, -56
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/x86/qemu/trm.c", "C", 0, -101, 0, 0, 0, 0, -12, -113
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/x86/qemu/vme.c", "C", 0, -160, 0, 0, 0, 0, -22, -182
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/x86/qemu/x86-qemu.h", "C++", 0, 0, -79, 0, 0, -2, -20, -101
"/home/xiangui/ysyx-workbench/abstract-machine/am/src/x86/x86.h", "C++", 0, 0, -286, 0, 0, -16, -52, -354
"/home/xiangui/ysyx-workbench/abstract-machine/klib/Makefile", "Makefile", -3, 0, 0, 0, 0, 0, -1, -4
"/home/xiangui/ysyx-workbench/abstract-machine/klib/include/klib-macros.h", "C", 0, -30, 0, 0, 0, 0, -10, -40
"/home/xiangui/ysyx-workbench/abstract-machine/klib/include/klib.h", "C", 0, -45, 0, 0, 0, -5, -10, -60
"/home/xiangui/ysyx-workbench/abstract-machine/klib/src/cpp.c", "C", 0, -13, 0, 0, 0, 0, -7, -20
"/home/xiangui/ysyx-workbench/abstract-machine/klib/src/int64.c", "C", 0, -518, 0, 0, 0, -125, -89, -732
"/home/xiangui/ysyx-workbench/abstract-machine/klib/src/stdio.c", "C", 0, -87, 0, 0, 0, 0, -14, -101
"/home/xiangui/ysyx-workbench/abstract-machine/klib/src/stdlib.c", "C", 0, -70, 0, 0, 0, -4, -12, -86
"/home/xiangui/ysyx-workbench/abstract-machine/klib/src/string.c", "C", 0, -125, 0, 0, 0, -1, -14, -140
"/home/xiangui/ysyx-workbench/abstract-machine/scripts/isa/loongarch32r.mk", "Makefile", -4, 0, 0, 0, 0, 0, -1, -5
"/home/xiangui/ysyx-workbench/abstract-machine/scripts/isa/mips32.mk", "Makefile", -5, 0, 0, 0, 0, 0, -1, -6
"/home/xiangui/ysyx-workbench/abstract-machine/scripts/isa/riscv.mk", "Makefile", -6, 0, 0, 0, 0, -1, -2, -9
"/home/xiangui/ysyx-workbench/abstract-machine/scripts/isa/x86.mk", "Makefile", -5, 0, 0, 0, 0, 0, -1, -6
"/home/xiangui/ysyx-workbench/abstract-machine/scripts/isa/x86_64.mk", "Makefile", -4, 0, 0, 0, 0, 0, -1, -5
"/home/xiangui/ysyx-workbench/abstract-machine/scripts/loongarch32r-nemu.mk", "Makefile", -7, 0, 0, 0, 0, 0, -2, -9
"/home/xiangui/ysyx-workbench/abstract-machine/scripts/mips32-nemu.mk", "Makefile", -7, 0, 0, 0, 0, 0, -2, -9
"/home/xiangui/ysyx-workbench/abstract-machine/scripts/native.mk", "Makefile", -23, 0, 0, 0, 0, 0, -5, -28
"/home/xiangui/ysyx-workbench/abstract-machine/scripts/platform/nemu.mk", "Makefile", -27, 0, 0, 0, 0, 0, -7, -34
"/home/xiangui/ysyx-workbench/abstract-machine/scripts/platform/npc.mk", "Makefile", -20, 0, 0, 0, 0, 0, -5, -25
