"filename", "language", "Verilog", "C++", "Makefile", "vcd", "C", "Markdown", "comment", "blank", "total"
"/home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/include/isa-def.h", "C++", 0, -14, 0, 0, 0, 0, -15, -7, -36
"/home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/init.c", "C", 0, 0, 0, 0, -17, 0, -20, -7, -44
"/home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/inst.c", "C", 0, 0, 0, 0, -46, 0, -14, -13, -73
"/home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/local-include/reg.h", "C++", 0, -13, 0, 0, 0, 0, -14, -7, -34
"/home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/logo.c", "C", 0, 0, 0, 0, -1, 0, -14, -2, -17
"/home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/reg.c", "C", 0, 0, 0, 0, -13, 0, -14, -5, -32
"/home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/system/intr.c", "C", 0, 0, 0, 0, -7, 0, -17, -5, -29
"/home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/system/mmu.c", "C", 0, 0, 0, 0, -6, 0, -14, -3, -23
"/home/xiangui/ysyx-workbench/nemu/src/isa/mips32/difftest/dut.c", "C", 0, 0, 0, 0, -8, 0, -14, -4, -26
"/home/xiangui/ysyx-workbench/nemu/src/isa/mips32/include/isa-def.h", "C++", 0, -15, 0, 0, 0, 0, -15, -7, -37
"/home/xiangui/ysyx-workbench/nemu/src/isa/mips32/init.c", "C", 0, 0, 0, 0, -16, 0, -20, -7, -43
"/home/xiangui/ysyx-workbench/nemu/src/isa/mips32/inst.c", "C", 0, 0, 0, 0, -48, 0, -14, -13, -75
"/home/xiangui/ysyx-workbench/nemu/src/isa/mips32/local-include/reg.h", "C++", 0, -13, 0, 0, 0, 0, -14, -7, -34
"/home/xiangui/ysyx-workbench/nemu/src/isa/mips32/logo.c", "C", 0, 0, 0, 0, -49, 0, -26, -4, -79
"/home/xiangui/ysyx-workbench/nemu/src/isa/mips32/reg.c", "C", 0, 0, 0, 0, -13, 0, -14, -5, -32
"/home/xiangui/ysyx-workbench/nemu/src/isa/mips32/system/intr.c", "C", 0, 0, 0, 0, -7, 0, -17, -5, -29
"/home/xiangui/ysyx-workbench/nemu/src/isa/mips32/system/mmu.c", "C", 0, 0, 0, 0, -6, 0, -14, -3, -23
"/home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/difftest/dut.c", "C", 0, 0, 0, 0, -22, 0, -14, -5, -41
"/home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/include/isa-def.h", "C++", 0, -14, 0, 0, 0, 0, -15, -7, -36
"/home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/init.c", "C", 0, 0, 0, 0, -17, 0, -20, -7, -44
"/home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/inst.c", "C", 0, 0, 0, 0, -149, 0, -14, -12, -175
"/home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/local-include/reg.h", "C++", 0, -13, 0, 0, 0, 0, -14, -7, -34
"/home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/logo.c", "C", 0, 0, 0, 0, -36, 0, -24, -4, -64
"/home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/reg.c", "C", 0, 0, 0, 0, -22, 0, -14, -4, -40
"/home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/system/intr.c", "C", 0, 0, 0, 0, -7, 0, -17, -5, -29
"/home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/system/mmu.c", "C", 0, 0, 0, 0, -6, 0, -14, -3, -23
"/home/xiangui/ysyx-workbench/nemu/src/memory/paddr.c", "C", 0, 0, 0, 0, -56, 0, -16, -14, -86
"/home/xiangui/ysyx-workbench/nemu/src/memory/vaddr.c", "C", 0, 0, 0, 0, -11, 0, -14, -5, -30
"/home/xiangui/ysyx-workbench/nemu/src/monitor/monitor.c", "C", 0, 0, 0, 0, -188, 0, -27, -33, -248
"/home/xiangui/ysyx-workbench/nemu/src/monitor/sdb/expr.c", "C", 0, 0, 0, 0, -265, 0, -32, -27, -324
"/home/xiangui/ysyx-workbench/nemu/src/monitor/sdb/sdb.c", "C", 0, 0, 0, 0, -159, 0, -24, -42, -225
"/home/xiangui/ysyx-workbench/nemu/src/monitor/sdb/sdb.h", "C", 0, 0, 0, 0, -20, 0, -15, -10, -45
"/home/xiangui/ysyx-workbench/nemu/src/monitor/sdb/watchpoint.c", "C", 0, 0, 0, 0, -104, 0, -17, -15, -136
"/home/xiangui/ysyx-workbench/nemu/src/nemu-main.c", "C", 0, 0, 0, 0, -15, 0, -16, -4, -35
"/home/xiangui/ysyx-workbench/nemu/src/utils/disasm.cc", "C++", 0, -82, 0, 0, 0, 0, -14, -14, -110
"/home/xiangui/ysyx-workbench/nemu/src/utils/filelist.mk", "Makefile", 0, 0, -5, 0, 0, 0, -14, -2, -21
"/home/xiangui/ysyx-workbench/nemu/src/utils/log.c", "C", 0, 0, 0, 0, -16, 0, -14, -5, -35
"/home/xiangui/ysyx-workbench/nemu/src/utils/state.c", "C", 0, 0, 0, 0, -7, 0, -14, -4, -25
"/home/xiangui/ysyx-workbench/nemu/src/utils/timer.c", "C", 0, 0, 0, 0, -29, 0, -14, -7, -50
"/home/xiangui/ysyx-workbench/nemu/tools/difftest.mk", "Makefile", 0, 0, -11, 0, 0, 0, -14, -4, -29
"/home/xiangui/ysyx-workbench/nemu/tools/fixdep/Makefile", "Makefile", 0, 0, -3, 0, 0, 0, 0, -1, -4
"/home/xiangui/ysyx-workbench/nemu/tools/fixdep/fixdep.c", "C", 0, 0, 0, 0, -222, 0, -138, -45, -405
"/home/xiangui/ysyx-workbench/nemu/tools/gen-expr/Makefile", "Makefile", 0, 0, -3, 0, 0, 0, -14, -2, -19
"/home/xiangui/ysyx-workbench/nemu/tools/gen-expr/gen-expr.c", "C", 0, 0, 0, 0, -108, 0, -16, -23, -147
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/Makefile", "Makefile", 0, 0, -32, 0, 0, 0, 0, -9, -41
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/conf.c", "C", 0, 0, 0, 0, -637, 0, -35, -56, -728
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/confdata.c", "C", 0, 0, 0, 0, -1051, 0, -116, -172, -1339
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/expr.c", "C", 0, 0, 0, 0, -1072, 0, -138, -94, -1304
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/expr.h", "C++", 0, -185, 0, 0, 0, 0, -91, -57, -333
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/list.h", "C++", 0, -55, 0, 0, 0, 0, -61, -17, -133
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/lkc.h", "C++", 0, -130, 0, 0, 0, 0, -14, -30, -174
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/lkc_proto.h", "C++", 0, -40, 0, 0, 0, 0, -5, -7, -52
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/checklist.c", "C", 0, 0, 0, 0, -237, 0, -37, -46, -320
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/dialog.h", "C++", 0, -176, 0, 0, 0, 0, -38, -25, -239
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/inputbox.c", "C", 0, 0, 0, 0, -245, 0, -16, -29, -290
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/menubox.c", "C", 0, 0, 0, 0, -302, 0, -68, -55, -425
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/textbox.c", "C", 0, 0, 0, 0, -310, 0, -44, -42, -396
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/util.c", "C", 0, 0, 0, 0, -542, 0, -63, -96, -701
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/yesno.c", "C", 0, 0, 0, 0, -70, 0, -14, -18, -102
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/mconf.c", "C", 0, 0, 0, 0, -953, 0, -16, -72, -1041
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/menu.c", "C", 0, 0, 0, 0, -621, 0, -175, -104, -900
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/preprocess.c", "C", 0, 0, 0, 0, -383, 0, -87, -105, -575
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/symbol.c", "C", 0, 0, 0, 0, -1067, 0, -83, -165, -1315
"/home/xiangui/ysyx-workbench/nemu/tools/kconfig/util.c", "C", 0, 0, 0, 0, -102, 0, -11, -17, -130
"/home/xiangui/ysyx-workbench/nemu/tools/kvm-diff/Makefile", "Makefile", 0, 0, -6, 0, 0, 0, -14, -4, -24
"/home/xiangui/ysyx-workbench/nemu/tools/kvm-diff/include/paddr.h", "C++", 0, 0, 0, 0, 0, 0, -15, -2, -17
"/home/xiangui/ysyx-workbench/nemu/tools/kvm-diff/src/kvm.c", "C", 0, 0, 0, 0, -327, 0, -29, -53, -409
"/home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/Makefile", "Makefile", 0, 0, -6, 0, 0, 0, -14, -4, -24
"/home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/include/common.h", "C", 0, 0, 0, 0, -13, 0, -14, -6, -33
"/home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/include/isa.h", "C", 0, 0, 0, 0, -41, 0, -14, -5, -60
"/home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/include/protocol.h", "C++", 0, -10, 0, 0, 0, 0, -18, -10, -38
"/home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/src/diff-test.c", "C", 0, 0, 0, 0, -67, 0, -17, -16, -100
"/home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/src/gdb-host.c", "C", 0, 0, 0, 0, -83, 0, -15, -21, -119
"/home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/src/isa.c", "C", 0, 0, 0, 0, -43, 0, -21, -15, -79
"/home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/src/protocol.c", "C", 0, 0, 0, 0, -208, 0, -43, -55, -306
"/home/xiangui/ysyx-workbench/nemu/tools/spike-diff/Makefile", "Makefile", 0, 0, -30, 0, 0, 0, -14, -11, -55
"/home/xiangui/ysyx-workbench/nemu/tools/spike-diff/difftest.cc", "C++", 0, -100, 0, 0, 0, 0, -14, -18, -132
"/home/xiangui/ysyx-workbench/npc/Makefile", "Makefile", 0, 0, 17, 0, 0, 0, 0, 6, 23
"/home/xiangui/ysyx-workbench/npc/csrc/ImmGen.cpp", "C++", 0, 62, 0, 0, 0, 0, 7, 10, 79
"/home/xiangui/ysyx-workbench/npc/csrc/RegisterFile.cpp", "C++", 0, 75, 0, 0, 0, 0, 0, 10, 85
"/home/xiangui/ysyx-workbench/npc/csrc/main.cpp", "C++", 0, 5, 0, 0, 0, 0, 0, 2, 7
"/home/xiangui/ysyx-workbench/npc/csrc/npc.cpp", "C++", 0, 75, 0, 0, 0, 0, 5, 13, 93
"/home/xiangui/ysyx-workbench/npc/csrc/pc.cpp", "C++", 0, 50, 0, 0, 0, 0, 0, 11, 61
